90.79
2078.png,1
4533.png,1
2722.png,1
1509.png,1
1962.png,0
4969.png,1
3382.png,1
636.png,1
4191.png,1
3922.png,1
2452.png,1
3132.png,0
4516.png,1
3653.png,1
4395.png,1
3103.png,1
3588.png,1
3379.png,0
1753.png,1
1061.png,0
1209.png,0
4221.png,0
3718.png,1
1636.png,1
4613.png,1
3805.png,1
2621.png,1
3310.png,1
1472.png,1
3207.png,1
552.png,1
984.png,1
2150.png,1
4312.png,1
3100.png,1
1728.png,1
3030.png,1
3519.png,1
922.png,1
2042.png,1
998.png,1
254.png,1
1917.png,1
770.png,0
2200.png,1
3346.png,1
844.png,1
3277.png,1
3902.png,1
2010.png,1
12.png,1
1765.png,1
2907.png,1
3603.png,0
3838.png,1
4850.png,1
4792.png,1
1864.png,1
2084.png,1
1001.png,1
4027.png,1
1346.png,1
726.png,1
221.png,0
1452.png,1
3478.png,1
96.png,1
3759.png,0
2679.png,1
506.png,0
2193.png,1
3387.png,1
262.png,1
1557.png,1
4559.png,1
2283.png,1
1633.png,1
3314.png,1
1017.png,1
3098.png,1
2977.png,1
2023.png,1
3273.png,1
2504.png,1
1190.png,0
4354.png,1
9.png,1
3607.png,1
878.png,1
2931.png,1
2172.png,0
3873.png,1
2942.png,1
1365.png,1
1329.png,1
641.png,1
3578.png,1
2182.png,1
3209.png,1
1424.png,1
896.png,1
3035.png,0
1756.png,1
525.png,1
4821.png,1
2658.png,1
3619.png,1
519.png,1
780.png,1
3727.png,1
4895.png,1
2000.png,1
507.png,1
4653.png,1
1440.png,1
1549.png,1
385.png,1
2203.png,0
4343.png,1
2867.png,1
2397.png,1
1054.png,1
4551.png,1
1621.png,1
2122.png,1
1282.png,1
2467.png,1
2780.png,1
2927.png,1
1675.png,1
3581.png,1
4671.png,1
79.png,1
4124.png,1
988.png,0
1464.png,1
679.png,1
1027.png,1
2920.png,1
2671.png,1
3643.png,0
720.png,1
3395.png,1
2797.png,0
2998.png,1
2145.png,1
4624.png,1
2136.png,1
816.png,1
4030.png,0
688.png,0
1725.png,1
4755.png,1
315.png,1
705.png,1
3028.png,1
4736.png,1
3280.png,1
2836.png,1
3123.png,0
999.png,1
3957.png,1
2591.png,1
1570.png,1
850.png,1
8.png,1
2992.png,1
3556.png,1
3768.png,1
2418.png,1
3020.png,1
3494.png,1
1429.png,1
2807.png,1
1817.png,0
2741.png,1
2481.png,0
3319.png,1
2249.png,1
3522.png,1
1034.png,1
3638.png,1
362.png,1
3894.png,1
2091.png,1
3920.png,1
2382.png,1
36.png,1
4330.png,1
3238.png,0
1479.png,1
2872.png,1
4951.png,1
4606.png,1
4712.png,0
3865.png,1
3263.png,1
3863.png,1
2837.png,1
4303.png,1
521.png,1
3769.png,1
2363.png,1
3524.png,1
1785.png,1
3333.png,0
4505.png,1
1101.png,1
1324.png,1
2910.png,0
1692.png,0
1008.png,1
3199.png,1
4894.png,1
647.png,1
124.png,1
155.png,0
1845.png,1
570.png,1
1759.png,1
2773.png,1
4020.png,1
376.png,1
4453.png,1
144.png,1
1427.png,1
4766.png,1
4196.png,1
1642.png,1
1956.png,1
3076.png,1
3008.png,1
2891.png,1
2848.png,1
3278.png,0
2337.png,1
3998.png,0
635.png,1
4114.png,0
3734.png,0
4432.png,1
4264.png,1
2471.png,1
3066.png,1
4486.png,1
1095.png,1
3593.png,0
4233.png,0
1310.png,0
2946.png,1
1953.png,1
3065.png,1
1032.png,1
686.png,1
3833.png,0
885.png,1
515.png,1
4479.png,1
1145.png,1
291.png,1
1750.png,1
797.png,1
1480.png,1
3649.png,0
3317.png,1
1085.png,1
4055.png,1
3470.png,0
3158.png,1
474.png,1
4972.png,1
4146.png,1
1023.png,1
2375.png,1
2420.png,1
1869.png,1
467.png,1
3700.png,1
898.png,1
2361.png,1
523.png,1
94.png,1
2880.png,1
3299.png,1
3689.png,0
4478.png,1
2017.png,1
45.png,0
4458.png,1
3908.png,1
2446.png,1
4104.png,1
2032.png,0
1090.png,0
4561.png,1
4574.png,1
51.png,1
4923.png,1
4422.png,1
1113.png,1
4075.png,0
1158.png,0
1416.png,0
2529.png,1
255.png,1
1414.png,1
955.png,1
1932.png,1
13.png,1
2290.png,1
4096.png,1
2820.png,1
35.png,1
133.png,1
4150.png,1
2001.png,1
1301.png,1
4464.png,0
4968.png,1
3765.png,1
4525.png,1
532.png,1
3918.png,1
28.png,1
4771.png,0
4866.png,1
3212.png,1
1569.png,1
3372.png,1
3336.png,1
2474.png,1
1097.png,1
3380.png,1
2324.png,1
2060.png,1
3804.png,1
75.png,1
394.png,1
2171.png,1
3719.png,1
3819.png,1
676.png,1
3271.png,1
3994.png,1
1608.png,1
1694.png,1
2187.png,1
2821.png,0
4502.png,0
277.png,0
172.png,1
4878.png,1
3465.png,0
4454.png,1
4411.png,1
4323.png,1
913.png,0
4461.png,1
2985.png,1
3779.png,1
3195.png,1
185.png,0
4615.png,1
3148.png,1
109.png,1
3353.png,1
836.png,1
1631.png,1
4151.png,0
673.png,1
1923.png,1
687.png,0
2378.png,1
2270.png,0
1524.png,1
3290.png,1
1425.png,1
2784.png,1
1565.png,1
3186.png,0
4090.png,1
2127.png,1
4856.png,1
4680.png,1
560.png,1
1021.png,0
361.png,1
233.png,1
871.png,0
3261.png,0
3349.png,1
2421.png,0
1018.png,1
2386.png,1
2630.png,0
3579.png,1
2218.png,1
3644.png,1
3124.png,1
1315.png,0
681.png,1
4949.png,1
3561.png,1
4076.png,1
4447.png,1
1333.png,1
3854.png,1
1320.png,1
863.png,0
4739.png,1
1208.png,1
946.png,1
891.png,1
1585.png,1
149.png,1
215.png,1
1747.png,1
1657.png,1
4835.png,1
3510.png,1
2403.png,1
3879.png,0
2633.png,1
456.png,1
4791.png,1
3202.png,0
2661.png,1
4466.png,1
3027.png,1
753.png,1
407.png,1
1647.png,0
2840.png,1
2959.png,1
3362.png,0
3092.png,1
815.png,1
3546.png,1
3576.png,1
4990.png,1
1691.png,1
1350.png,1
2259.png,1
2650.png,1
2120.png,1
1298.png,1
905.png,0
3930.png,1
1055.png,1
2480.png,1
1720.png,1
3900.png,0
4948.png,1
3294.png,1
1574.png,1
3149.png,1
3793.png,1
430.png,1
2909.png,0
4719.png,1
3388.png,1
1850.png,0
573.png,1
2647.png,1
3023.png,1
3456.png,1
2079.png,1
3567.png,0
3024.png,1
1360.png,1
2209.png,1
3159.png,1
4039.png,1
4675.png,0
4732.png,1
601.png,1
3892.png,1
701.png,1
1116.png,1
3813.png,1
3356.png,1
398.png,0
4286.png,1
2703.png,1
835.png,1
2229.png,0
464.png,1
1594.png,1
1280.png,1
3345.png,0
4632.png,1
176.png,1
2447.png,0
3822.png,0
1680.png,1
1954.png,0
3329.png,1
4860.png,1
135.png,1
108.png,0
4142.png,1
3242.png,1
3859.png,0
4428.png,0
2059.png,0
2443.png,0
963.png,1
1905.png,1
1131.png,1
1386.png,1
4761.png,1
3445.png,0
4560.png,0
4053.png,0
1679.png,1
3330.png,0
2849.png,1
2157.png,1
3109.png,1
880.png,1
4932.png,0
2577.png,1
3849.png,1
