95.18
3546.png,1
2855.png,1
3841.png,1
3724.png,1
783.png,0
2148.png,1
2333.png,1
3765.png,1
3344.png,1
1320.png,1
13.png,1
2348.png,1
262.png,1
126.png,1
2967.png,0
641.png,0
162.png,1
738.png,1
4224.png,0
3121.png,0
3979.png,1
3162.png,1
2680.png,1
4247.png,1
3435.png,1
3827.png,0
4521.png,1
85.png,1
687.png,1
53.png,1
2673.png,1
190.png,1
3288.png,1
3734.png,1
4018.png,0
1086.png,0
4180.png,1
4847.png,1
2272.png,1
3043.png,0
3419.png,1
4539.png,1
599.png,0
3249.png,1
3505.png,0
69.png,1
1571.png,1
2314.png,1
1413.png,1
1298.png,1
4921.png,1
1941.png,1
4071.png,1
182.png,1
392.png,1
4735.png,1
290.png,1
1496.png,1
4838.png,1
661.png,1
345.png,0
3690.png,0
1845.png,1
2664.png,1
4530.png,1
1727.png,1
4871.png,1
1456.png,1
3577.png,0
4334.png,1
4876.png,0
402.png,1
83.png,1
486.png,0
757.png,1
1301.png,1
2149.png,1
4983.png,1
206.png,1
2243.png,0
838.png,1
1280.png,1
4954.png,1
4421.png,0
1937.png,1
2692.png,0
814.png,0
2645.png,1
4123.png,1
2181.png,1
3721.png,1
2811.png,1
4717.png,1
3636.png,1
4028.png,1
4841.png,1
904.png,1
2000.png,0
1354.png,1
1279.png,1
2418.png,1
4376.png,1
1644.png,0
2323.png,0
1575.png,0
2974.png,1
2691.png,1
3646.png,1
1923.png,1
1194.png,1
4830.png,0
500.png,1
2630.png,1
4930.png,1
2450.png,1
853.png,1
1921.png,1
3610.png,1
163.png,1
3983.png,1
1101.png,1
3969.png,1
1855.png,1
1463.png,1
1905.png,1
1902.png,1
2690.png,1
4226.png,1
4693.png,1
2884.png,1
4977.png,1
987.png,1
3483.png,1
1901.png,1
3087.png,1
2394.png,1
2008.png,0
3222.png,1
2534.png,1
872.png,1
3194.png,1
4696.png,1
2885.png,1
2562.png,1
1245.png,1
582.png,1
348.png,0
2769.png,0
2225.png,1
4373.png,1
4992.png,0
1009.png,1
1936.png,1
1676.png,1
564.png,1
4803.png,1
2941.png,1
3838.png,0
414.png,1
3073.png,1
4733.png,1
1540.png,0
845.png,1
2531.png,1
2354.png,1
1718.png,1
510.png,0
3089.png,1
4998.png,1
4364.png,1
2132.png,1
4048.png,1
247.png,1
2328.png,1
3526.png,1
3928.png,1
1005.png,1
2419.png,0
3661.png,1
2666.png,1
2795.png,1
4884.png,1
99.png,0
674.png,1
4748.png,1
4559.png,0
1482.png,0
3119.png,1
4621.png,1
4625.png,1
4273.png,0
3312.png,1
1922.png,1
635.png,1
4546.png,1
826.png,1
894.png,0
2127.png,1
2424.png,1
3551.png,1
4818.png,1
4333.png,1
602.png,1
4101.png,1
4332.png,0
3544.png,1
2283.png,1
1952.png,1
1376.png,1
815.png,1
3040.png,1
699.png,1
2068.png,1
2797.png,1
3095.png,1
990.png,1
4478.png,1
689.png,1
2700.png,0
647.png,1
4997.png,1
951.png,0
1026.png,1
3915.png,1
3603.png,1
910.png,1
3232.png,1
3471.png,1
2282.png,1
3807.png,1
2550.png,1
281.png,0
1846.png,1
1881.png,1
2927.png,1
2312.png,1
4948.png,1
202.png,0
2823.png,0
1932.png,1
3092.png,1
1033.png,1
4250.png,0
4660.png,1
4454.png,1
1103.png,1
1384.png,1
4642.png,1
2036.png,1
3495.png,1
2001.png,1
2218.png,1
354.png,1
